PathPPS_len,PathPPS_time,Real_len,Acc
134,2321000,1876,0.9253731343283582
303,5232000,4242,0.5643564356435643
126,1991000,1764,0.8412698412698413
42,1727000,588,0.9047619047619048
124,2016000,1736,0.3387096774193548
367,4956000,5138,0.3569482288828338
276,3679000,3864,0.6014492753623188
279,4372000,3906,0.3763440860215054
124,2096000,1736,0.8387096774193549
207,3922000,2898,0.6135265700483091
392,6551000,5488,0.47959183673469385
229,4738000,3206,0.6331877729257642
19,1682000,266,0.7894736842105263
304,4553000,4256,0.6052631578947368
209,3582000,2926,0.5980861244019139
214,2390000,2996,0.8317757009345794
331,6340000,4634,0.6314199395770392
275,4431000,3850,0.6945454545454546
68,1774000,952,0.9705882352941176
147,2109000,2058,0.7278911564625851
133,2253000,1862,0.6090225563909775
137,2145000,1918,0.708029197080292
132,3307000,1848,0.7121212121212122
315,3469000,4410,0.6063492063492063
84,2106000,1176,0.6904761904761905
179,2416000,2506,0.5642458100558659
123,1884000,1722,0.8699186991869918
32,1631000,448,1.0
140,2764000,1960,0.8142857142857143
348,6447000,4872,0.5517241379310345
159,3072000,2226,0.710691823899371
260,4616000,3640,0.7
123,2425000,1722,0.5609756097560976
26,1582000,364,1.0
266,2819000,3724,0.5789473684210527
159,2476000,2226,0.7610062893081762
131,2297000,1834,0.8625954198473282
463,5975000,6482,0.5680345572354212
408,6158000,5712,0.7794117647058824
134,3017000,1876,0.7313432835820896
82,1936000,1148,0.926829268292683
324,5256000,4536,0.48148148148148145
119,1884000,1666,0.7815126050420168
191,3252000,2674,0.7172774869109948
83,2102000,1162,0.9518072289156626
125,2007000,1750,0.648
85,2036000,1190,0.7647058823529411
198,2807000,2772,0.6666666666666666
161,3149000,2254,0.639751552795031
253,3086000,3542,0.5573122529644269
104,1910000,1456,0.5961538461538461
199,3053000,2786,0.5879396984924623
378,4603000,5292,0.48148148148148145
92,2699000,1288,0.9130434782608695
252,3651000,3528,0.5079365079365079
236,3546000,3304,0.6440677966101694
50,1449000,700,0.96
187,4179000,2618,0.6898395721925134
216,4915000,3024,0.7777777777777778
110,2062000,1540,0.8363636363636363
271,3471000,3794,0.7343173431734318
192,3220000,2688,0.59375
136,2626000,1904,0.6323529411764706
230,4753000,3220,0.7391304347826086
310,5175000,4340,0.4967741935483871
401,5647000,5614,0.5311720698254364
197,2660000,2758,0.6446700507614214
167,2316000,2338,0.6526946107784432
108,2619000,1512,0.8703703703703703
161,3790000,2254,0.7391304347826086
95,2147000,1330,0.43157894736842106
359,4443000,5026,0.6323119777158774
