PathPPS_len,PathPPS_time,Real_len,Acc
22,1275000,1408,1.0
37,1587000,2368,1.0
7,2078000,448,1.0
24,1365000,1536,1.0
22,1211000,1408,1.0
74,1391000,4736,1.0
52,1266000,3328,1.0
80,1550000,5120,1.0
74,1041000,4736,0.7297297297297297
52,889000,3328,1.0
17,867000,1088,1.0
20,762000,1280,1.0
12,848000,768,1.0
61,1065000,3904,0.7377049180327869
25,879000,1600,1.0
37,895000,2368,1.0
74,1019000,4736,1.0
42,927000,2688,1.0
53,978000,3392,1.0
8,817000,512,1.0
67,999000,4288,1.0
51,968000,3264,1.0
64,998000,4096,1.0
82,1196000,5248,1.0
87,1060000,5568,1.0
12,823000,768,1.0
49,914000,3136,1.0
34,928000,2176,1.0
77,1029000,4928,1.0
86,1052000,5504,1.0
63,1932000,4032,0.9682539682539683
27,1325000,1728,1.0
87,1268000,5568,0.9540229885057471
60,1080000,3840,1.0
66,1192000,4224,1.0
90,1086000,5760,0.9555555555555556
15,849000,960,1.0
77,1234000,4928,1.0
43,986000,2752,1.0
72,1218000,4608,1.0
24,1244000,1536,1.0
60,1192000,3840,0.9333333333333333
55,1425000,3520,1.0
39,1083000,2496,0.6410256410256411
56,1455000,3584,0.7142857142857143
69,1322000,4416,1.0
68,1332000,4352,1.0
8,957000,512,1.0
66,1285000,4224,1.0
112,1288000,7168,1.0
36,952000,2304,1.0
106,1154000,6784,1.0
28,1137000,1792,1.0
55,1154000,3520,1.0
74,1921000,4736,1.0
55,1287000,3520,0.9272727272727272
52,1009000,3328,1.0
70,1058000,4480,0.9428571428571428
114,1130000,7296,0.8245614035087719
21,873000,1344,1.0
36,903000,2304,1.0
87,1258000,5568,1.0
58,1025000,3712,1.0
90,1219000,5760,1.0
40,914000,2560,1.0
2,821000,128,1.0
20,809000,1280,1.0
58,956000,3712,1.0
110,1152000,7040,1.0
27,893000,1728,0.5555555555555556
27,862000,1728,1.0
100,1219000,6400,0.96
48,886000,3072,1.0
87,1108000,5568,1.0
68,996000,4352,0.6176470588235294
79,1030000,5056,1.0
58,1800000,3712,1.0
15,998000,960,1.0
81,1598000,5184,0.8765432098765432
50,1108000,3200,1.0
41,1150000,2624,1.0
48,1028000,3072,1.0
35,1178000,2240,1.0
38,1126000,2432,1.0
56,1162000,3584,0.75
76,1363000,4864,1.0
87,1379000,5568,1.0
48,1190000,3072,1.0
36,1061000,2304,1.0
10,928000,640,1.0
71,1196000,4544,1.0
43,1063000,2752,1.0
87,1301000,5568,0.9540229885057471
109,1156000,6976,1.0
81,1285000,5184,1.0
37,1187000,2368,0.8918918918918919
16,941000,1024,1.0
30,1058000,1920,0.8
92,2087000,5888,0.9782608695652174
25,1300000,1600,1.0
36,1085000,2304,1.0
29,931000,1856,1.0
85,1145000,5440,0.9529411764705882
98,1154000,6272,0.9591836734693877
76,1089000,4864,0.8157894736842105
40,938000,2560,0.9
45,1072000,2880,0.8666666666666667
80,1068000,5120,0.675
73,1022000,4672,1.0
78,1019000,4992,0.6153846153846154
75,1025000,4800,1.0
80,1104000,5120,1.0
13,857000,832,1.0
44,925000,2816,1.0
57,1009000,3648,0.7192982456140351
24,861000,1536,1.0
72,1018000,4608,1.0
71,1049000,4544,0.9436619718309859
75,1114000,4800,1.0
27,1130000,1728,1.0
18,992000,1152,1.0
71,1842000,4544,1.0
93,1395000,5952,0.956989247311828
