PathPPS_len,PathPPS_time,Real_len,Acc
26,1732000,1664,1.0
76,1646000,4864,1.0
29,1637000,1856,0.7241379310344828
97,5749000,6208,0.6907216494845361
39,1618000,2496,0.9487179487179487
36,1251000,2304,0.8888888888888888
75,1188000,4800,1.0
66,1119000,4224,1.0
27,946000,1728,1.0
43,949000,2752,0.6744186046511628
37,998000,2368,1.0
17,864000,1088,1.0
15,839000,960,1.0
27,879000,1728,1.0
25,835000,1600,1.0
56,1068000,3584,1.0
115,1141000,7360,0.28695652173913044
78,1024000,4992,1.0
101,1133000,6464,0.8613861386138614
14,825000,896,1.0
33,913000,2112,0.8181818181818182
75,1021000,4800,0.84
21,933000,1344,1.0
49,1033000,3136,1.0
58,1044000,3712,1.0
15,892000,960,1.0
4,779000,256,1.0
29,1002000,1856,1.0
21,858000,1344,1.0
140,1159000,8960,0.4142857142857143
65,952000,4160,0.5692307692307692
51,947000,3264,1.0
49,977000,3136,0.8775510204081632
45,1830000,2880,1.0
88,2511000,5632,0.9318181818181818
39,1060000,2496,1.0
27,945000,1728,1.0
125,1262000,8000,0.408
66,1428000,4224,0.9393939393939394
44,1142000,2816,1.0
58,1221000,3712,0.7931034482758621
21,1045000,1344,1.0
7,1075000,448,1.0
26,969000,1664,1.0
61,1320000,3904,0.7377049180327869
43,1493000,2752,0.7209302325581395
45,1242000,2880,0.8222222222222222
58,1247000,3712,1.0
24,1071000,1536,1.0
39,1252000,2496,1.0
39,1087000,2496,1.0
16,1076000,1024,1.0
48,1250000,3072,1.0
54,1798000,3456,1.0
84,1251000,5376,0.7380952380952381
44,1232000,2816,1.0
38,1039000,2432,1.0
25,1320000,1600,0.36
56,1354000,3584,1.0
5,936000,320,1.0
33,1009000,2112,1.0
35,1328000,2240,0.7714285714285715
58,1396000,3712,0.6896551724137931
56,1109000,3584,1.0
41,1794000,2624,1.0
58,1451000,3712,1.0
104,1390000,6656,0.8653846153846154
14,927000,896,1.0
5,869000,320,1.0
40,1415000,2560,1.0
29,908000,1856,0.9310344827586207
7,878000,448,1.0
85,1152000,5440,0.8117647058823529
43,917000,2752,1.0
36,1045000,2304,1.0
70,968000,4480,1.0
56,939000,3584,1.0
37,1026000,2368,0.8918918918918919
69,1022000,4416,1.0
29,860000,1856,1.0
17,846000,1088,1.0
80,1056000,5120,1.0
29,897000,1856,1.0
29,922000,1856,1.0
58,1323000,3712,1.0
63,1305000,4032,0.8095238095238095
14,995000,896,1.0
39,1133000,2496,1.0
71,1547000,4544,1.0
12,1083000,768,1.0
31,1216000,1984,1.0
39,1037000,2496,1.0
68,1227000,4352,0.7647058823529411
49,1161000,3136,0.9591836734693877
92,1269000,5888,0.6086956521739131
10,899000,640,1.0
38,1906000,2432,0.7894736842105263
88,1396000,5632,0.7272727272727273
96,1352000,6144,0.8541666666666666
62,1236000,3968,0.9354838709677419
19,1025000,1216,1.0
13,1184000,832,1.0
23,919000,1472,1.0
23,956000,1472,1.0
15,857000,960,1.0
5,816000,320,1.0
44,950000,2816,1.0
15,843000,960,1.0
21,841000,1344,0.9047619047619048
78,1057000,4992,1.0
83,1054000,5312,1.0
17,854000,1088,1.0
80,1059000,5120,0.925
87,1487000,5568,0.9310344827586207
41,997000,2624,1.0
18,881000,1152,1.0
22,996000,1408,1.0
117,1253000,7488,0.5555555555555556
107,5456000,6848,0.5887850467289719
10,950000,640,1.0
31,959000,1984,0.8064516129032258
71,1031000,4544,0.971830985915493
25,860000,1600,1.0
39,917000,2496,1.0
3,830000,192,1.0
52,956000,3328,1.0
43,1027000,2752,1.0
51,1905000,3264,0.9215686274509803
48,1513000,3072,0.75
28,1250000,1792,1.0
42,1161000,2688,1.0
51,1304000,3264,1.0
66,1265000,4224,0.7272727272727273
47,1074000,3008,1.0
51,1170000,3264,1.0
26,1199000,1664,1.0
26,1010000,1664,1.0
91,1198000,5824,0.4065934065934066
97,1170000,6208,0.7731958762886598
23,1035000,1472,1.0
100,1262000,6400,0.28
52,1127000,3328,1.0
84,1183000,5376,0.5238095238095238
56,1177000,3584,1.0
1,884000,64,1.0
46,1226000,2944,1.0
82,1199000,5248,1.0
36,1016000,2304,1.0
51,8590000,3264,1.0
39,972000,2496,1.0
64,989000,4096,0.5625
85,1051000,5440,0.38823529411764707
21,803000,1344,1.0
78,1105000,4992,0.8461538461538461
21,914000,1344,1.0
26,854000,1664,1.0
15,805000,960,1.0
14,794000,896,1.0
23,1732000,1472,1.0
28,1278000,1792,0.7142857142857143
20,964000,1280,1.0
62,1180000,3968,0.967741935483871
68,1032000,4352,0.7647058823529411
6,799000,384,1.0
32,1068000,2048,1.0
51,922000,3264,1.0
81,5152000,5184,0.6296296296296297
54,958000,3456,0.48148148148148145
66,1036000,4224,1.0
25,825000,1600,0.52
87,1121000,5568,0.7241379310344828
21,942000,1344,1.0
25,1054000,1600,1.0
112,1273000,7168,0.6607142857142857
91,1269000,5824,1.0
19,1043000,1216,1.0
29,1207000,1856,1.0
47,1220000,3008,1.0
110,1913000,7040,0.8
107,1344000,6848,0.4766355140186916
18,1025000,1152,1.0
126,1323000,8064,0.4603174603174603
42,1437000,2688,0.8571428571428571
80,1180000,5120,1.0
65,1187000,4160,1.0
51,1111000,3264,0.7647058823529411
78,1649000,4992,1.0
17,1154000,1088,1.0
126,5839000,8064,0.6190476190476191
38,2081000,2432,1.0
65,1659000,4160,0.7538461538461538
74,1225000,4736,1.0
9,831000,576,1.0
38,1362000,2432,1.0
86,1049000,5504,0.4883720930232558
14,813000,896,1.0
90,1089000,5760,0.9333333333333333
18,799000,1152,1.0
52,912000,3328,1.0
46,883000,2944,1.0
HCM(ms):,147.45,MapSize(B):,1310800
